App,feedback ID,labeled,bug report ID,
org.videolan.vlc,gp:AOqpTOHIYtZw7JeHkH5gDQpCXtAJ7vFKJc8TYWlKgjYt2WhtqMiiZELzt3e6Sv1EQEsLH5dRXdyVB65XeW-PnQ,TRUE,,
org.videolan.vlc,gp:AOqpTOGngSOCyZYCsBjSQcHN5CtsPBISSoS0dkjy0FQPL4Ar1E3-pi5ZyKwDqiG5_Pfd22Jj13MGlegCVAdB5w,TRUE,,
org.videolan.vlc,gp:AOqpTOG1xHNgPqM1DjFVESAY13VxlMCd6WfvqFVDPtH3BndPC8kOhvU8v_9b9KhRtRYMDd4CMGIyut_K6KFdmg,TRUE,,
org.videolan.vlc,gp:AOqpTOHqcUhQQfvlaWmbG0F481XPojxPIvNbQkC3H756V0a-1g2YFVD9XEkPpGXMXAFeIXp4ToziN0xu-FfuvQ,TRUE,,the bug report is specific for one single device while the problem report is not specifying the device
org.videolan.vlc,gp:AOqpTOGaUqUdf5nIMmRlR_jfmNuRTKqrQcBhmxC0cq7DMerSo5SaBgamTvu2VldX3YFm26bBfc5zxsk1OXZrxw,TRUE,,
org.videolan.vlc,gp:AOqpTOH-lqawQHR9A5PJe-J7qxF3Dk23Mzvwjaa0IT3Lt4LaBYWQ0oJdrIJEt9r0CXfW5gYwuozUtqey3-qQ1g,TRUE,16020,
org.videolan.vlc,gp:AOqpTOHMHPS3n9jXdUF0ln0RdgON_Xhy-xDuE2wDzYbpsDx5xmH-KC6aWcBEVg6QXcmZ0BUxrHQT2_l-Wqad_w,TRUE,8593,
org.videolan.vlc,gp:AOqpTOH_M4taHr0bMcL3SdoZ-5djUb_fBwSsikgk2YApldcwr0athqA18VYxg8A2Gw8vRKlIQ3lw1IlmF_8VXQ,TRUE,20756,
org.videolan.vlc,gp:AOqpTOHzXdO_KYElwWXPxgEMQbq_K3oX_kukx5PYUZ2pvMcF-jcGP_J8hriY6E70FvMNqjLc0mUYsOU8XVxUow,TRUE,12427,
org.videolan.vlc,gp:AOqpTOHD4HIs6xEBJtFBc7kwSmLOcdzVkaJfI2msaQxqrIgv4sN1GuiXqVi_Akhu8oxgTsVe8djmvnfY87dJiw,TRUE,7522,
org.thoughtcrime.securesms,gp:AOqpTOGdqyS-u3tVfq9EkiHgE8T9PdYnO0n6Hp7bJOu92MOLdW3coB9EbR_RdWE-KoIv5_ZiUbmR-rR2OedzGg,TRUE,,
org.thoughtcrime.securesms,gp:AOqpTOGKsMBSy18TeQkIsVeeuucL42fsiTZszsDFMSGF57F3AygCahSLCoOw80OZHIoBGHmsdd-wk5SewopVNg,TRUE,,
org.thoughtcrime.securesms,gp:AOqpTOGgyuY34HoEKfD427aHcpu01Pz-KJSiEIMbony3e9rdpuhqdL67RBQP2kX_ICE5SO8ABuPHASA_O9HW2A,TRUE,,
org.thoughtcrime.securesms,gp:AOqpTOG_V0X2scB5RGHS4d6RNiA7bmZWJ3C_zXSjllpZIF-W1L2FohHoFy_V75FgGY_Fme5W9j1u3-qwuo36vw,TRUE,216985748,
org.thoughtcrime.securesms,gp:AOqpTOH2NhVxhnHCCg53uoj8ewpdyc1xjXO2WoNeSDwxAWHZpq97bfBtCBi6wcXlLHdGpQgpXwpP96t4mgsv4Q,TRUE,118276595,
org.thoughtcrime.securesms,gp:AOqpTOG9XkEGu6teckk_5RMoVjNokJykPbbHu4_hWn7ICKBeRwZdimg3vV0FBcyUEJ-Sbm-lCyByIa7O2YJ87Q,TRUE,669799533,
org.thoughtcrime.securesms,gp:AOqpTOHDicmsfnCuQPLnOXhL4SeM5DlLd_s6yi4HvHXNMsN1DgdsC6qVn5OREQlDDuPlLubPVGEx78bl9_7jSg,TRUE,138380625,
org.thoughtcrime.securesms,gp:AOqpTOEdV_6X83Lo_jWtlKvqbXnQhGIdItM205t2whFxQaKcOWlid6HCrV8yeXsx2A2f90Se4hgW4ZKc1bDwqQ,TRUE,80533310,
org.thoughtcrime.securesms,gp:AOqpTOHZU4kTwMvIVMGg-3Lqfxb2dRntTDKrswYZ6Jq9MWBPGKtSFqKmf3Okbf9ybPtG9K_SYB0eb19gzgazaA,TRUE,35573302,
org.thoughtcrime.securesms,gp:AOqpTOGr7MnpcGYp1ypjKnLgyybhyiX8-KalSXxejlOtjjQU1buznYheT_ZEqxnSmCAU1S9KBixApMWWbPro-A,TRUE,649320557,
org.mozilla.firefox,gp:AOqpTOHD5ybDExqZxNpGWVjH8PK-MBh2noyEuZfVsBQ8v7zhQWhFNzMScCO4LU2Pt9kN97S2MXbpZacDeBedCA,TRUE,,
